marketplace,contract_address,token_id,quantity,buyer_address,seller_address,taker,transaction_hash,block_number,block_timestamp,price_token,price_amount,price_eth,datetime,date,time
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,7597,1,0x028ebcb785f4b450c348c6943d68bf459615b719,0x52a89cca4b7711ee45ff65d92f238158efcbff71,BUYER,0xd27b1a3a17bc8e89747b1c22aed15b8f40a26e64390ddc61fc845634f9a73fcb,19772714,,ETH,6.27e+16,0.0627,,,
seaport,0x3d049adb773faddef681fbe565466c4f9736a009,7048,1,0x028ebcb785f4b450c348c6943d68bf459615b719,0x6b6a279a4e0d6f4ec57b6105ad3307584280ff29,BUYER,0x18ceacf97be2891adcefbf8091732d3da3080977b94cfc5048a99c74270b1d18,19772440,,ETH,8550000000000000.0,0.00855,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,7444,1,0x119029b83bab35561f5337edaddafab3628d1b19,0xf1ec447cdf6c0e966c42f44a71bb4e2a5e8d3824,BUYER,0xac556ebaa8d60c35fc735ef211f69f62e375a14135602ed74370c97f23752646,19695466,,ETH,6.175e+16,0.06175,,,
seaport,0xfd2b5dc2ca033fa42af1c161966b9a9711494641,3068,1,0xb11787b671b59ba7fc808f306cc13bb3bed60cc4,0x03189da8e94ac52b5c939dc33c3f5b27d03b0c7e,BUYER,0xa2ae5758bdf3044340eed67a95667d12d5467f21d1c73af98214ecbba1ea9a77,19691841,,ETH,3.784e+16,0.03784,,,
seaport,0xfd2b5dc2ca033fa42af1c161966b9a9711494641,5232,1,0xced2859a6ce1b30c963c0512569c54c5e6e59974,0x4159b476c7b489e6fe2ecd658b3fd13a0ef7570c,BUYER,0x147a12a7fa3e8185febafcc4a3a6d95d3d5cd0191e88bc22b5062398a29145fd,19669142,,ETH,3.84125e+16,0.0384125,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,4824,1,0x119029b83bab35561f5337edaddafab3628d1b19,0xa3a156cf57281d9dc841946bb228457e5857b44f,BUYER,0x66cffb9324082b60916272ca0a9dbc1445885974de5e36257ce158f17cd10c9e,19600605,,ETH,5.7e+16,0.057,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,9382,1,0x22ec5875918977e6a63ddec3d7f20f1ac718fc66,0xe839ed9160268763d17a316469212c0ba6e2b839,BUYER,0x1d549db085dcd7708de64aeca9ad653ce3fddd6ea4b15aa6e7bb3188c2685363,19600507,,ETH,5.51e+16,0.0551,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,1874,1,0x22ec5875918977e6a63ddec3d7f20f1ac718fc66,0xe839ed9160268763d17a316469212c0ba6e2b839,BUYER,0x9fda8ff8e9824d397ec7d2ff4c0925077b00c140b3851d98c7119cf56cbf390a,19600505,,ETH,5.415e+16,0.05415,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,3732,1,0x22ec5875918977e6a63ddec3d7f20f1ac718fc66,0x0fdd0be6b01ac24b8d7435dbe3d6552063392ad9,BUYER,0xe80ea483b95119460f8c897854e39978e01c795eddb67fdf2372cf5512c9d50f,19600502,,ETH,5.32e+16,0.0532,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,3249,1,0x119029b83bab35561f5337edaddafab3628d1b19,0x0fdd0be6b01ac24b8d7435dbe3d6552063392ad9,BUYER,0x2a6daa4482db42a8d0f3445c1a82e6c0bbb54c15ca0e83d5d73c8ba5cfb4cbe9,19596629,,ETH,2.47e+16,0.0247,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,2323,1,0xbe8bcae1728740fa3740f09a69dbbae8eb2893e2,0xf1ec447cdf6c0e966c42f44a71bb4e2a5e8d3824,BUYER,0xc3e8260ff618b1958318c89da869d5b69d1f3c19a23d85c6d7b5e243d375dfe9,19581164,,ETH,5.32e+16,0.0532,,,
seaport,0x3d049adb773faddef681fbe565466c4f9736a009,9433,1,0x62f39f34ca9b699f1e002b168b254a78567bbdb0,0xf1ec447cdf6c0e966c42f44a71bb4e2a5e8d3824,BUYER,0x190844ad0dc6de4b32fe15ed5afdacb05c0c071901e3338bbc17e8748e01a1c4,19476299,,ETH,1.14e+16,0.0114,,,
seaport,0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,2551,1,0x119029b83bab35561f5337edaddafab3628d1b19,0x25b902199fba0a16555d2306d442339b1e972ff5,BUYER,0xa3cb24db343ef16207389f274def7f2854fb4a68e9282e307bcd3cbcf15a83db,19473501,,ETH,5.605e+16,0.05605,,,
